# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04043e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.217108066937e-01       2.104584194419e+03 
       1.249149924255e-01       2.054338922328e+03 
       1.281193401231e-01       2.000537718354e+03 
       1.313237895819e-01       1.941269900848e+03 
       1.345283040326e-01       1.875841089965e+03 
       1.377328609490e-01       1.804694155406e+03 
       1.409374464660e-01       1.729215442472e+03 
       1.441420519895e-01       1.651442149281e+03 
       1.473466721387e-01       1.573723579318e+03 
       1.505513034956e-01       1.498406042455e+03 
       1.537559438453e-01       1.427559705418e+03 
       1.569605917136e-01       1.362793732935e+03 
       1.601652460861e-01       1.305147796881e+03 
       1.633699062363e-01       1.255052846880e+03 
       1.665745716206e-01       1.212368409316e+03 
       1.697792418137e-01       1.176455221680e+03 
       1.729839164694e-01       1.146285432644e+03 
       1.761885952952e-01       1.120571973032e+03 
       1.793932780375e-01       1.097896655935e+03 
       1.825979644709e-01       1.076895591431e+03 
       1.858026543923e-01       1.056467594687e+03 
       1.890073476165e-01       1.035245767964e+03 
       1.922120439729e-01       1.012431182593e+03 
       1.954167433039e-01       9.875862633687e+02 
       1.986214454629e-01       9.606533865472e+02 
       2.018261503133e-01       9.319183971619e+02 
       2.050308577273e-01       9.019389150443e+02 
       2.082355675854e-01       8.714202916755e+02 
       2.114402797754e-01       8.411258811494e+02 
       2.146449941920e-01       8.117647342935e+02 
       2.178497107361e-01       7.839391257241e+02 
       2.210544293145e-01       7.581042435726e+02 
       2.242591498393e-01       7.345469290541e+02 
       2.274638722276e-01       7.133925691307e+02 
       2.306685964014e-01       6.946113204265e+02 
       2.338733222865e-01       6.780313597464e+02 
       2.370780498133e-01       6.633567944095e+02 
       2.402827789155e-01       6.501923805421e+02 
       2.434875095305e-01       6.381015908107e+02 
       2.466922415991e-01       6.266327042939e+02 
       2.498969750648e-01       6.153753762596e+02 
       2.531017098744e-01       6.039909044581e+02 
       2.563064459771e-01       5.922388504346e+02 
       2.595111833247e-01       5.799843771168e+02 
       2.627159218714e-01       5.671896858488e+02 
       2.659206615735e-01       5.539129986781e+02 
       2.691254023896e-01       5.402838884552e+02 
       2.723301442800e-01       5.264897926402e+02 
       2.755348872071e-01       5.127503930064e+02 
       2.787396311349e-01       4.992981750927e+02 
       2.819443760291e-01       4.863491838451e+02 
       2.851491218570e-01       4.740778894425e+02 
       2.883538685871e-01       4.626035676713e+02 
       2.915586161897e-01       4.519807518058e+02 
       2.947633646361e-01       4.422003081513e+02 
       2.979681138989e-01       4.332035460374e+02 
       3.011728639520e-01       4.248921615421e+02 
       3.043776147702e-01       4.171455012586e+02 
       3.075823663295e-01       4.098311129788e+02 
       3.107871186068e-01       4.028152437392e+02 
       3.139918715801e-01       3.959718319095e+02 
       3.171966252282e-01       3.891894875617e+02 
       3.204013795307e-01       3.823804915612e+02 
       3.236061344680e-01       3.754870437997e+02 
       3.268108900215e-01       3.684860682021e+02 
       3.300156461730e-01       3.613874482407e+02 
       3.332204029053e-01       3.542292831661e+02 
       3.364251602016e-01       3.470676960878e+02 
       3.396299180459e-01       3.399684989629e+02 
       3.428346764228e-01       3.329982413540e+02 
       3.460394353174e-01       3.262143243879e+02 
       3.492441947154e-01       3.196671788084e+02 
       3.524489546030e-01       3.133950367567e+02 
       3.556537149669e-01       3.074226628119e+02 
       3.588584757943e-01       3.017588008553e+02 
       3.620632370728e-01       2.963968877991e+02 
       3.652679987906e-01       2.913138015767e+02 
       3.684727609360e-01       2.864728124575e+02 
       3.716775234979e-01       2.818296246741e+02 
       3.748822864658e-01       2.773367817404e+02 
       3.780870498291e-01       2.729510752663e+02 
       3.812918135779e-01       2.686369186945e+02 
       3.844965777025e-01       2.643682417181e+02 
       3.877013421935e-01       2.601277354048e+02 
       3.909061070419e-01       2.559073232422e+02 
       3.941108722390e-01       2.517040853079e+02 
       3.973156377762e-01       2.475223585099e+02 
       4.005204036453e-01       2.433718647236e+02 
       4.037251698385e-01       2.392675999643e+02 
       4.069299363481e-01       2.352275274675e+02 
