# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   91       2.944249889384e-10       7.681381635526e-14      -2.088776808745e-12       0.000000000000e+00       1.227863994140e-11       1.742903453571e-12      -9.134255492175e-15 
   92       2.979701084875e-10       7.867952236409e-14      -2.165652416208e-12       0.000000000000e+00       1.194126501114e-11       1.704127287766e-12      -8.971143385756e-15 
   93       3.015412571499e-10       8.054282059602e-14      -2.243169641245e-12       0.000000000000e+00       1.161458852458e-11       1.666466856902e-12      -8.785140187204e-15 
   94       3.051385421135e-10       8.240206631388e-14      -2.321270590153e-12       0.000000000000e+00       1.129845914963e-11       1.629906380218e-12      -8.578539225921e-15 
   95       3.087622538837e-10       8.425550451865e-14      -2.399891988972e-12       0.000000000000e+00       1.099293535625e-11       1.594455464706e-12      -8.354777969393e-15 
   96       3.124125468846e-10       8.610134057374e-14      -2.478968441447e-12       0.000000000000e+00       1.069798150241e-11       1.560113062262e-12      -8.117630802155e-15 
   97       3.160894330642e-10       8.793774018822e-14      -2.558432416859e-12       0.000000000000e+00       1.041346422942e-11       1.526867055218e-12      -7.871218020360e-15 
   98       3.197927754977e-10       8.976282940015e-14      -2.638214237859e-12       0.000000000000e+00       1.013914885724e-11       1.494693841869e-12      -7.620014826356e-15 
   99       3.235222819927e-10       9.157469455986e-14      -2.718242068302e-12       0.000000000000e+00       9.874695779895e-12       1.463557921998e-12      -7.368860323255e-15 
  100       3.272774986935e-10       9.337138231322e-14      -2.798441901080e-12       0.000000000000e+00       9.619656860742e-12       1.433411482408e-12      -7.122966509513e-15 
  101       3.310578036852e-10       9.515089958495e-14      -2.878737545953e-12       0.000000000000e+00       9.373471827859e-12       1.404193982443e-12      -6.887927273496e-15 
  102       3.348624005981e-10       9.691121356190e-14      -2.959050617383e-12       0.000000000000e+00       9.135464669370e-12       1.375831739524e-12      -6.669727388061e-15 
  103       3.386903122125e-10       9.865025167632e-14      -3.039300522370e-12       0.000000000000e+00       8.904840028794e-12       1.348237514669e-12      -6.474751505123e-15 
  104       3.425405865221e-10       1.003659933581e-13      -3.119408512723e-12       0.000000000000e+00       8.680863454614e-12       1.321331146268e-12      -6.308322927661e-15 
  105       3.464129604024e-10       1.020567594430e-13      -3.199310491521e-12       0.000000000000e+00       8.463437643575e-12       1.295105518520e-12      -6.170075748479e-15 
  106       3.503072740882e-10       1.037209620102e-13      -3.278945921992e-12       0.000000000000e+00       8.252597681724e-12       1.269568773158e-12      -6.057971413014e-15 
  107       3.542232627087e-10       1.053570170841e-13      -3.358253949658e-12       0.000000000000e+00       8.048332576194e-12       1.244723876020e-12      -5.969706040986e-15 
  108       3.581605522262e-10       1.069633456261e-13      -3.437173434831e-12       0.000000000000e+00       7.850583670927e-12       1.220568433871e-12      -5.902703264679e-15 
  109       3.621186553751e-10       1.085383745263e-13      -3.515642985114e-12       0.000000000000e+00       7.659243062388e-12       1.197094511235e-12      -5.854107067222e-15 
  110       3.660969676016e-10       1.100805375954e-13      -3.593600987895e-12       0.000000000000e+00       7.474152015289e-12       1.174288447217e-12      -5.820774620870e-15 
  111       3.700947630022e-10       1.115882765563e-13      -3.670985642845e-12       0.000000000000e+00       7.295099378304e-12       1.152130672334e-12      -5.799269125289e-15 
  112       3.741111902633e-10       1.130600420358e-13      -3.747734994417e-12       0.000000000000e+00       7.121819999788e-12       1.130595525341e-12      -5.785852645831e-15 
  113       3.781452686000e-10       1.144942945563e-13      -3.823786964340e-12       0.000000000000e+00       6.953993143497e-12       1.109651070058e-12      -5.776478951825e-15 
  114       3.821958836951e-10       1.158895055280e-13      -3.899079384119e-12       0.000000000000e+00       6.791240904307e-12       1.089258912193e-12      -5.766786354849e-15 
