# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  155       6.789650866207e-10       8.143849622879e-14      -2.220008098799e-12       0.000000000000e+00       5.040625417517e-12       8.299063169552e-14      -2.302565183478e-15 
  156       6.810918893928e-10       8.106406320984e-14      -2.029530373356e-12       0.000000000000e+00       4.946914687476e-12       8.256883981469e-14      -2.173415362260e-15 
  157       6.831027971117e-10       8.084774148392e-14      -1.834587147982e-12       0.000000000000e+00       4.855365723583e-12       8.231880379609e-14      -2.049220828999e-15 
  158       6.849968175140e-10       8.079814447226e-14      -1.635272544499e-12       0.000000000000e+00       4.765958990066e-12       8.221936388625e-14      -1.929598662171e-15 
  159       6.867729932141e-10       8.092406667606e-14      -1.431686761506e-12       0.000000000000e+00       4.678667491499e-12       8.224801262189e-14      -1.814135695805e-15 
  160       6.884304022682e-10       8.123448509423e-14      -1.223936162552e-12       0.000000000000e+00       4.593456611280e-12       8.238087209417e-14      -1.702387976719e-15 
  161       6.899681587368e-10       8.173856064128e-14      -1.012133364308e-12       0.000000000000e+00       4.510283950107e-12       8.259267121305e-14      -1.593880221750e-15 
  162       6.913854132483e-10       8.244563956506e-14      -7.963973247443e-13       0.000000000000e+00       4.429099164455e-12       8.285672297149e-14      -1.488105274989e-15 
  163       6.926813535623e-10       8.336525486463e-14      -5.768534313007e-13       0.000000000000e+00       4.349843805055e-12       8.314490170980e-14      -1.384523565016e-15 
  164       6.938552051326e-10       8.450712770803e-14      -3.536335890600e-13       0.000000000000e+00       4.272451155366e-12       8.342762037990e-14      -1.282562562130e-15 
  165       6.949062316705e-10       8.588116885010e-14      -1.268763089216e-13       0.000000000000e+00       4.196846070059e-12       8.367380780961e-14      -1.181616235587e-15 
  166       6.958337357082e-10       8.749748005032e-14       1.032732042249e-13       0.000000000000e+00       4.122944813488e-12       8.385088596696e-14      -1.081044510831e-15 
  167       6.966370591618e-10       8.936635549057e-14       3.366629633269e-13       0.000000000000e+00       4.050654898168e-12       8.392474722444e-14      -9.801727267242e-16 
  168       6.973156324695e-10       9.149782469814e-14       5.731400873220e-13       0.000000000000e+00       3.979892412494e-12       8.386693932499e-14      -8.784388797892e-16 
  169       6.978691255046e-10       9.390023481276e-14       8.125692111182e-13       0.000000000000e+00       3.910635992571e-12       8.367695219917e-14      -7.758505173916e-16 
