# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  119       4.022249320600e-10       1.223542567049e-13      -4.242664426196e-12       5.118268585162e-16       6.139056152375e-12       9.592019304755e-13      -5.446535771661e-15 
  120       4.063459010472e-10       1.235002911664e-13      -4.311919041571e-12       5.207859130527e-16       5.999813706438e-12       9.419031383544e-13      -5.388028480851e-15 
  121       4.104780571240e-10       1.245986567126e-13      -4.379972817194e-12       5.298382775378e-16       5.864711057010e-12       9.250847884438e-13      -5.326730479205e-15 
  122       4.146205741911e-10       1.256482052498e-13      -4.446758703987e-12       5.389846045101e-16       5.733660317674e-12       9.087370873679e-13      -5.263179413414e-15 
  123       4.187725390561e-10       1.266478221060e-13      -4.512209522656e-12       5.482255559019e-16       5.606546702584e-12       8.928469444021e-13      -5.197948720203e-15 
  124       4.229329489561e-10       1.275964272790e-13      -4.576257989577e-12       5.575618030703e-16       5.483227792022e-12       8.773978803298e-13      -5.131648329854e-15 
  125       4.271007090796e-10       1.284929766854e-13      -4.638836742673e-12       5.669940268267e-16       5.363532797959e-12       8.623699362987e-13      -5.064925369717e-15 
  126       4.312746300893e-10       1.293364634093e-13      -4.699878367302e-12       5.765229174676e-16       5.247261829614e-12       8.477395826777e-13      -4.998464867727e-15 
  127       4.354534256438e-10       1.301259189508e-13      -4.759315422135e-12       5.861491748040e-16       5.134185159014e-12       8.334796279131e-13      -4.932990455920e-15 
  128       4.396357099204e-10       1.308604144748e-13      -4.817080465044e-12       5.958735081925e-16       5.024042486551e-12       8.195591273855e-13      -4.869265073949e-15 
  129       4.438201408494e-10       1.315391017765e-13      -4.873107245524e-12       6.056966432695e-16       4.916598893912e-12       8.059498988748e-13      -4.807927766920e-15 
  130       4.480058728473e-10       1.321613386068e-13      -4.927334374919e-12       6.156193429260e-16       4.811821202733e-12       7.926470706673e-13      -4.748982342495e-15 
  131       4.521921492978e-10       1.327265795191e-13      -4.979702109613e-12       6.256423887019e-16       4.709719664822e-12       7.796506258522e-13      -4.692253687226e-15 
  132       4.563781598708e-10       1.332343389022e-13      -5.030151254466e-12       6.357665743647e-16       4.610292683456e-12       7.669589543363e-13      -4.637546179198e-15 
  133       4.605630390867e-10       1.336841925137e-13      -5.078623197048e-12       6.459927059881e-16       4.513526484568e-12       7.545688089754e-13      -4.584643218691e-15 
  134       4.647458648818e-10       1.340757790126e-13      -5.125059941866e-12       6.563216020299e-16       4.419394787949e-12       7.424752617050e-13      -4.533306758849e-15 
  135       4.689256571732e-10       1.344088014920e-13      -5.169404144593e-12       6.667540934106e-16       4.327858478432e-12       7.306716596712e-13      -4.483276836350e-15 
  136       4.731013764236e-10       1.346830290123e-13      -5.211599146299e-12       6.772910235909e-16       4.238865277094e-12       7.191495813626e-13      -4.434271102063e-15 
  137       4.772719222062e-10       1.348982981339e-13      -5.251589007679e-12       6.879332486505e-16       4.152349412444e-12       7.078987927401e-13      -4.385984351723e-15 
  138       4.814361317700e-10       1.350545144499e-13      -5.289318543287e-12       6.986816373659e-16       4.068231291620e-12       6.969072033692e-13      -4.338088056595e-15 
  139       4.855927786042e-10       1.351516541194e-13      -5.324733355761e-12       7.095370712890e-16       3.986417171577e-12       6.861608225502e-13      -4.290229894138e-15 
  140       4.897405710036e-10       1.351897654000e-13      -5.357779870056e-12       7.205004448248e-16       3.906798830290e-12       6.756437154494e-13      -4.242033278674e-15 
  141       4.938781506332e-10       1.351689701807e-13      -5.388405367670e-12       7.315726653098e-16       3.829253237938e-12       6.653379592305e-13      -4.193096892053e-15 
  142       4.980040910935e-10       1.350894655150e-13      -5.416558020880e-12       7.427546530903e-16       3.753642228103e-12       6.552235991855e-13      -4.142994214321e-15 
  143       5.021168964851e-10       1.349515251536e-13      -5.442186926965e-12       7.540473416002e-16       3.679812168961e-12       6.452786048653e-13      -4.091273054385e-15 
  144       5.062151229715e-10       1.347555112031e-13      -5.465242495788e-12       7.654515893309e-16       3.607626177492e-12       6.354838724053e-13      -4.037560845981e-15 
  145       5.102977600033e-10       1.345019071619e-13      -5.485677583335e-12       7.769679057916e-16       3.537065035605e-12       6.258388799251e-13      -3.981893225947e-15 
  146       5.143638841246e-10       1.341912910705e-13      -5.503446535516e-12       7.885966985553e-16       3.468135644258e-12       6.163474993336e-13      -3.924417107992e-15 
  147       5.184125386284e-10       1.338243272546e-13      -5.518504880790e-12       8.003383585168e-16       3.400839233293e-12       6.070130739892e-13      -3.865287963435e-15 
  148       5.224427328283e-10       1.334017679166e-13      -5.530809366428e-12       8.121932594646e-16       3.335171219654e-12       5.978384038322e-13      -3.804669959723e-15 
  149       5.264534413305e-10       1.329244547266e-13      -5.540317994772e-12       8.241617576530e-16       3.271121065610e-12       5.888257305169e-13      -3.742736098940e-15 
  150       5.304436033054e-10       1.323933204131e-13      -5.546990059494e-12       8.362441913738e-16       3.208672136978e-12       5.799767225435e-13      -3.679668356324e-15 
  151       5.344121217596e-10       1.318093903546e-13      -5.550786181860e-12       8.484408805277e-16       3.147801561346e-12       5.712924603908e-13      -3.615657818774e-15 
  152       5.383578628077e-10       1.311737841701e-13      -5.551668346986e-12       8.607521261967e-16       3.088480086293e-12       5.627734216478e-13      -3.550904823370e-15 
  153       5.422796549441e-10       1.304877173106e-13      -5.549599940105e-12       8.731782102156e-16       3.030671937616e-12       5.544194661462e-13      -3.485619095882e-15 
  154       5.461762883149e-10       1.297525026499e-13      -5.544545782820e-12       8.857193947438e-16       2.974334677545e-12       5.462298210925e-13      -3.420019889282e-15 
  155       5.500465139896e-10       1.289695520760e-13      -5.536472169369e-12       8.983759218373e-16       2.919419062972e-12       5.382030662001e-13      -3.354336122259e-15 
  156       5.538890432328e-10       1.281403780816e-13      -5.525346902886e-12       9.111480130201e-16       2.865868903671e-12       5.303371188216e-13      -3.288806517733e-15 
  157       5.577025467764e-10       1.272665953558e-13      -5.511139331657e-12       9.240358688567e-16       2.813620920521e-12       5.226292190808e-13      -3.223679741364e-15 
  158       5.614856540912e-10       1.263499223745e-13      -5.493820385387e-12       9.370396685231e-16       2.762604603725e-12       5.150759150049e-13      -3.159214540070e-15 
  159       5.652369526586e-10       1.253921829923e-13      -5.473362611455e-12       9.501595693793e-16       2.712742071037e-12       5.076730476569e-13      -3.095679880535e-15 
  160       5.689549872428e-10       1.243953080326e-13      -5.449740211176e-12       9.633957065404e-16       2.663947925981e-12       5.004157362673e-13      -3.033355087725e-15 
  161       5.726383601082e-10       1.233612931962e-13      -5.422928985396e-12       9.767481941056e-16       2.616146756472e-12       4.932994220850e-13      -2.972473194148e-15 
  162       5.762860431613e-10       1.222920652614e-13      -5.392906089737e-12       9.902171298629e-16       2.569327667302e-12       4.863231348775e-13      -2.913045066946e-15 
  163       5.798970921497e-10       1.211896070370e-13      -5.359650326905e-12       1.003802590184e-15       2.523494321598e-12       4.794864882258e-13      -2.855019920208e-15 
  164       5.834705479364e-10       1.200560013604e-13      -5.323142270969e-12       1.017504627986e-15       2.478647674021e-12       4.727886368697e-13      -2.798340583606e-15 
  165       5.870054362367e-10       1.188934324878e-13      -5.283364303203e-12       1.031323272316e-15       2.434785910150e-12       4.662282667105e-13      -2.742943379626e-15 
  166       5.905007673542e-10       1.177041874840e-13      -5.240300647933e-12       1.045258527925e-15       2.391904385868e-12       4.598035848145e-13      -2.688758000805e-15 
  167       5.939555359168e-10       1.164906576128e-13      -5.193937408379e-12       1.059310374849e-15       2.349995566741e-12       4.535123094161e-13      -2.635707386960e-15 
  168       5.973687206136e-10       1.152553397267e-13      -5.144262602494e-12       1.073478767990e-15       2.309048967404e-12       4.473516599212e-13      -2.583707602422e-15 
  169       6.007392839305e-10       1.140008376574e-13      -5.091266198814e-12       1.087763636694e-15       2.269051090946e-12       4.413183469101e-13      -2.532667713269e-15 
