# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000105879 to 1.10569 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.323730243447e-02       7.284915166368e+03 
       3.339008602959e-02       7.255013358364e+03 
       3.354346408869e-02       7.225112689839e+03 
       3.369745307346e-02       7.195180789710e+03 
       3.385207001281e-02       7.165293057906e+03 
       3.400733252782e-02       7.135410202664e+03 
       3.416325885800e-02       7.105502833833e+03 
       3.431986788917e-02       7.075629356210e+03 
       3.447717918274e-02       7.045749318342e+03 
       3.463521300680e-02       7.015896109925e+03 
       3.479399036890e-02       6.986047648810e+03 
       3.495353305086e-02       6.956181633109e+03 
       3.511386364548e-02       6.926367034244e+03 
       3.527500559562e-02       6.896540753663e+03 
       3.543698323551e-02       6.866743775031e+03 
       3.559982183465e-02       6.836953720450e+03 
       3.576354764441e-02       6.807199702685e+03 
       3.592818794756e-02       6.777408984740e+03 
       3.609377111094e-02       6.747665121311e+03 
       3.626032664152e-02       6.717941268573e+03 
       3.642788524609e-02       6.688208071193e+03 
       3.659647889490e-02       6.658520224913e+03 
       3.676614088955e-02       6.628821833055e+03 
       3.693690593547e-02       6.599160419026e+03 
       3.710881021933e-02       6.569505977477e+03 
       3.728189149189e-02       6.539877212111e+03 
       3.745618915664e-02       6.510260557470e+03 
       3.763174436476e-02       6.480660875608e+03 
       3.780860011696e-02       6.451069106919e+03 
       3.798680137278e-02       6.421487642422e+03 
       3.816639516807e-02       6.391924929874e+03 
       3.834743074125e-02       6.362374586759e+03 
       3.852995966931e-02       6.332807522978e+03 
       3.871403601433e-02       6.303292897239e+03 
       3.889971648163e-02       6.273768660146e+03 
       3.908706059048e-02       6.244262164131e+03 
       3.927613085881e-02       6.214767805498e+03 
       3.946699300303e-02       6.185245248969e+03 
       3.965971615481e-02       6.155753045444e+03 
       3.985437309615e-02       6.126260470730e+03 
       4.005104051495e-02       6.096763906616e+03 
       4.024979928304e-02       6.067276605057e+03 
       4.045073475918e-02       6.037760565169e+03 
       4.065393711954e-02       6.008271479449e+03 
       4.085950171899e-02       5.978742605641e+03 
       4.106752948637e-02       5.949214676751e+03 
       4.127812735774e-02       5.919672840057e+03 
       4.149140875202e-02       5.890105453549e+03 
       4.170749409403e-02       5.860526453914e+03 
       4.192651139058e-02       5.830921450250e+03 
       4.214859686618e-02       5.801288233785e+03 
       4.237389566580e-02       5.771604943133e+03 
       4.260256263320e-02       5.741914578138e+03 
       4.283476317468e-02       5.712158081758e+03 
       4.307067421959e-02       5.682369935502e+03 
       4.331048529064e-02       5.652525347764e+03 
       4.355439969915e-02       5.622610692181e+03 
       4.380263588298e-02       5.592641367655e+03 
       4.405542890759e-02       5.562591321977e+03 
       4.431303215420e-02       5.532493549034e+03 
       4.457571922340e-02       5.502285433071e+03 
       4.484378608705e-02       5.471992662071e+03 
       4.511755352791e-02       5.441589855820e+03 
       4.539736991312e-02       5.411068595766e+03 
       4.568361435661e-02       5.380440777261e+03 
       4.597670033628e-02       5.349670743522e+03 
       4.627707984452e-02       5.318772113841e+03 
       4.658524816678e-02       5.287694507382e+03 
       4.690174940235e-02       5.256444838629e+03 
       4.722718286577e-02       5.225007016493e+03 
       4.756221053750e-02       5.193360876365e+03 
       4.790756576966e-02       5.161490660359e+03 
       4.826406349984e-02       5.129363956045e+03 
       4.863261228470e-02       5.096974309327e+03 
       4.901422853962e-02       5.064283946779e+03 
       4.941005346447e-02       5.031270962162e+03 
       4.982137325538e-02       4.997895652775e+03 
       5.024964335423e-02       4.964112168964e+03 
       5.069651768156e-02       4.929884156673e+03 
       5.116388404565e-02       4.895171382953e+03 
       5.165390723468e-02       4.859884792542e+03 
       5.216908169612e-02       4.823996197368e+03 
       5.271229620474e-02       4.787396171832e+03 
       5.328691352970e-02       4.749990247735e+03 
       5.389686883388e-02       4.711653161692e+03 
       5.454679133963e-02       4.672268761451e+03 
       5.524215456756e-02       4.631607723654e+03 
       5.598946093249e-02       4.589491190301e+03 
       5.679646608188e-02       4.545617431208e+03 
       5.767244589618e-02       4.499586168106e+03 
       5.862850222166e-02       4.450932982289e+03 
       5.967788792466e-02       4.399014808033e+03 
       6.083630054615e-02       4.342947673820e+03 
       6.212203617810e-02       4.281595130738e+03 
       6.355580054449e-02       4.213411268040e+03 
       6.515984620772e-02       4.136409501396e+03 
       6.695599880678e-02       4.048106097579e+03 
       6.896221943757e-02       3.945654824582e+03 
       7.118791187493e-02       3.826283638865e+03 
       7.362935651146e-02       3.688009139055e+03 
       7.626777328148e-02       3.530676054360e+03 
       7.907201319020e-02       3.356673559142e+03 
       8.200515938186e-02       3.171004889222e+03 
       8.503170598485e-02       2.980564557700e+03 
       8.812222248052e-02       2.792846735233e+03 
       9.125477225927e-02       2.614796811628e+03 
       9.441416166668e-02       2.451913342661e+03 
       9.759036939341e-02       2.307823038317e+03 
       1.007769910497e-01       2.184201833045e+03 
       1.039700144508e-01       2.080909123550e+03 
       1.071669569268e-01       1.996335259282e+03 
       1.103662937952e-01       1.927755854183e+03 
       1.135670929271e-01       1.871701228304e+03 
       1.167687859401e-01       1.824303707268e+03 
       1.199710267233e-01       1.781693845303e+03 
       1.231736046175e-01       1.740290775871e+03 
       1.263763913775e-01       1.697148751262e+03 
       1.295793088603e-01       1.650151719814e+03 
       1.327823093708e-01       1.598189231728e+03 
       1.359853637185e-01       1.541137027522e+03 
       1.391884539639e-01       1.479770165297e+03 
       1.423915690133e-01       1.415532622210e+03 
       1.455947019440e-01       1.350285509374e+03 
       1.487978483793e-01       1.286022784880e+03 
       1.520010055015e-01       1.224622230102e+03 
       1.552041714514e-01       1.167648514801e+03 
       1.584073449634e-01       1.116231232444e+03 
       1.616105251420e-01       1.070996933277e+03 
       1.648137113260e-01       1.032077153907e+03 
       1.680169030053e-01       9.991457114845e+02 
       1.712200997692e-01       9.715065483734e+02 
       1.744233012744e-01       9.481827517346e+02 
       1.776265072252e-01       9.280318236289e+02 
       1.808297173611e-01       9.098557375798e+02 
       1.840329314479e-01       8.926723188547e+02 
       1.872361492729e-01       8.753828305673e+02 
       1.904393706408e-01       8.570784370668e+02 
       1.936425953713e-01       8.372276413720e+02 
       1.968458232971e-01       8.156179760007e+02 
       2.000490542623e-01       7.923426431785e+02 
       2.032522881215e-01       7.677552502561e+02 
       2.064555247384e-01       7.423933517861e+02 
       2.096587639855e-01       7.168801158488e+02 
       2.128620057430e-01       6.918438493736e+02 
       2.160652498983e-01       6.678377482431e+02 
       2.192684963455e-01       6.453138837558e+02 
       2.224717449848e-01       6.245844119239e+02 
       2.256749957223e-01       6.058261085473e+02 
       2.288782484693e-01       5.890818774925e+02 
       2.320815031418e-01       5.742698614212e+02 
       2.352847596609e-01       5.611924669980e+02 
       2.384880179515e-01       5.495607315414e+02 
       2.416912779428e-01       5.390246609287e+02 
       2.448945395675e-01       5.292058197950e+02 
       2.480978027621e-01       5.197393797505e+02 
       2.513010674661e-01       5.103066345333e+02 
       2.545043336221e-01       5.006623612442e+02 
       2.577076011757e-01       4.906453175848e+02 
       2.609108700751e-01       4.801825512645e+02 
       2.641141402710e-01       4.692827176451e+02 
       2.673174117166e-01       4.580234085269e+02 
       2.705206843672e-01       4.465366160123e+02 
       2.737239581802e-01       4.349956766102e+02 
       2.769272331150e-01       4.235937639572e+02 
       2.801305091330e-01       4.125194062986e+02 
       2.833337861973e-01       4.019386980734e+02 
       2.865370642725e-01       3.919792427000e+02 
       2.897403433249e-01       3.827151794147e+02 
       2.929436233223e-01       3.741654541799e+02 
       2.961469042338e-01       3.663022543743e+02 
       2.993501860300e-01       3.590602443145e+02 
       3.025534686827e-01       3.523455611319e+02 
       3.057567521647e-01       3.460509432873e+02 
       3.089600364501e-01       3.400662771496e+02 
       3.121633215141e-01       3.342799906845e+02 
       3.153666073328e-01       3.285912995674e+02 
       3.185698938833e-01       3.229165640727e+02 
       3.217731811438e-01       3.171929900022e+02 
       3.249764690930e-01       3.113858341392e+02 
       3.281797577107e-01       3.054888185743e+02 
       3.313830469775e-01       2.995226108118e+02 
       3.345863368746e-01       2.935270455471e+02 
       3.377896273840e-01       2.875541145642e+02 
       3.409929184883e-01       2.816593707489e+02 
       3.441962101709e-01       2.758959217387e+02 
       3.473995024157e-01       2.703093571759e+02 
       3.506027952072e-01       2.649374241668e+02 
       3.538060885305e-01       2.598070127503e+02 
       3.570093823713e-01       2.549324195685e+02 
       3.602126767156e-01       2.503155107898e+02 
       3.634159715500e-01       2.459433263361e+02 
       3.666192668618e-01       2.417916840315e+02 
       3.698225626384e-01       2.378251692760e+02 
       3.730258588678e-01       2.340058169434e+02 
       3.762291555383e-01       2.302949475243e+02 
       3.794324526389e-01       2.266581076560e+02 
       3.826357501585e-01       2.230695944608e+02 
       3.858390480868e-01       2.195121164930e+02 
       3.890423464136e-01       2.159736092730e+02 
       3.922456451291e-01       2.124497319936e+02 
       3.954489442238e-01       2.089414147647e+02 
       3.986522436885e-01       2.054541026474e+02 
