# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.044303247236e-10       2.758699392395e-14      -3.014092215132e-13       1.193220279277e-16       2.290473407536e-11       4.058254392896e-12      -6.860690845018e-15 
   67       2.069710482010e-10       2.884191269844e-14      -3.399622398088e-13       1.229838281750e-16       2.210635061152e-11       3.937457396072e-12      -7.055394663759e-15 
   68       2.095345564120e-10       3.012603346128e-14      -3.799734502900e-13       1.267003166500e-16       2.134353307892e-11       3.820963221666e-12      -7.066196539138e-15 
   69       2.121219448265e-10       3.143883645677e-14      -4.214230333769e-13       1.304715193260e-16       2.061587547121e-11       3.708865881960e-12      -6.933732296101e-15 
   70       2.147338546289e-10       3.277974128228e-14      -4.642877133986e-13       1.342974736994e-16       1.992227554160e-11       3.601176914769e-12      -6.704779950238e-15 
   71       2.173704429306e-10       3.414810547917e-14      -5.085406748499e-13       1.381782293855e-16       1.926089949605e-11       3.497820883203e-12      -6.432496080963e-15 
   72       2.200313529831e-10       3.554322312384e-14      -5.541514786486e-13       1.421138487157e-16       1.862914668646e-11       3.398630875440e-12      -6.176652204706e-15 
   73       2.227156843917e-10       3.696432341866e-14      -6.010859783922e-13       1.461044073332e-16       1.802361430385e-11       3.303344004487e-12      -6.003871148094e-15 
   74       2.254225079782e-10       3.841060271221e-14      -6.493102737962e-13       1.501499919732e-16       1.744097008048e-11       3.211682002325e-12      -5.972032879327e-15 
   75       2.281525877094e-10       3.988133060567e-14      -6.988036113981e-13       1.542506919999e-16       1.688083733601e-11       3.123620401586e-12      -6.079596436051e-15 
   76       2.309069283405e-10       4.137576123046e-14      -7.495477561339e-13       1.584066073601e-16       1.634338804957e-11       3.039161778011e-12      -6.307183962366e-15 
   77       2.336862416061e-10       4.289310090362e-14      -8.015231715657e-13       1.626178517862e-16       1.582846727660e-11       2.958252503419e-12      -6.632466750983e-15 
   78       2.364909282096e-10       4.443250744163e-14      -8.547090234295e-13       1.668845533314e-16       1.533557747468e-11       2.880780085358e-12      -7.030059334426e-15 
   79       2.393210598119e-10       4.599308947418e-14      -9.090831831821e-13       1.712068549058e-16       1.486386282933e-11       2.806570506745e-12      -7.471413576231e-15 
   80       2.421763610215e-10       4.757390575791e-14      -9.646222315488e-13       1.755849148116e-16       1.441209357980e-11       2.735385565512e-12      -7.924712762152e-15 
   81       2.450561913832e-10       4.917396449023e-14      -1.021301462071e-12       1.800189072785e-16       1.397865034496e-11       2.666920214257e-12      -8.354765691356e-15 
   82       2.479595273676e-10       5.079222262312e-14      -1.079094884651e-12       1.845090229997e-16       1.356150844902e-11       2.600799899880e-12      -8.722900767632e-15 
   83       2.508854114252e-10       5.242760944974e-14      -1.137976126133e-12       1.890554430763e-16       1.315873213439e-11       2.536672074319e-12      -8.995303039788e-15 
   84       2.538344252074e-10       5.407910341619e-14      -1.197921297841e-12       1.936582546546e-16       1.277008683980e-11       2.474504200901e-12      -9.169864696935e-15 
